video_url,video_type,topic,emotion,hook_type,format,exceed_at,engagement_rate,duration,shares,comments,likes,views_per_sub
https://www.tiktok.com/@luuluongchiasenews/video/7604459110041423118,news reaction,Bitcoin có thể là do ông Jeffrey Epstein tạo ra,surprise,shocking fact,talking head,views_per_subs,3.043853,96,18100,991,84400,813.981326
https://www.tiktok.com/@bankerthichcode/video/7549590951220628754,explanation,Đảo chính tại Nepal Bangladesh Indonesia Ukraine đều có bắt nguồn và lấy nguồn lực chính từ học sinh sinh viên. Để hợp thức hoá quá trình đảo chính Bravo 1 và Bravo 2 như thượng tướng Nguyễn Chí Vịnh đã nói ,curiosity,shocking fact,infographic,views_per_subs,6.763857,216,28000,4782,251300,732.089942
https://www.tiktok.com/@stevent107/video/7585032490063219989,news reaction,"Khám phá tin tức về việc Nga mất chiếc tàu ngầm Kilo thứ 2 và các thông tin liên quan đến tàu điện ngầm, trò chơi tàu ngầm.",curiosity,shocking fact,talking head,views_per_subs,2.034738,124,143,509,12000,713.892078
https://www.tiktok.com/@luuluongchiasenews/video/7606877980559723789,news reaction,Khám phá thông tin về Thủ Tướng Việt Nam trong hồ sơ Epstein qua bài viết này.,curiosity,shocking fact,talking head,views_per_subs,2.292857,121,5065,1035,58100,670.337563
https://www.tiktok.com/@luuluongchiasenews/video/7605362598552309005,news reaction,"Việt Kiều giờ chỉ gửi được 200 đô về Việt Nam, phải có giấy tờ hợp pháp và đóng thuế. Cập nhật thông tin quan trọng!",outrage,question,talking head,views_per_subs,2.224423,72,15300,1835,40700,622.456308
https://www.tiktok.com/@luuluongchiasenews/video/7606919669047463181,news reaction,"Khám phá tên tuổi các sao Việt Nam, Trung Quốc liên quan đến hồ sơ Epstein, từ Thành Long, Lý Liên Kiệt đến Phạm Băng Băng, Jack-J97. ",curiosity,statement,talking head,views_per_subs,3.65252,62,23600,1013,66700,598.515681
https://www.tiktok.com/@stevent107/video/7585086900449332501,news reaction,18/12: Vua Thái Lan chơi lớn. CPC gặp khó!,surprise,shocking fact,talking head,views_per_subs,2.194001,124,152,359,10900,597.129736
https://www.tiktok.com/@luuluongchiasenews/video/7588704447690263821,explanation," Khám phá cách đơn giản để kiểm tra nước tương, nước mắm và mật ong nguyên chất. Đảm bảo an toàn cho gia đình bạn! ",curiosity,shocking fact,talking head,views_per_subs,4.689208,73,45800,1141,65600,574.575054
https://www.tiktok.com/@luuluongchiasenews/video/7606197243481246990,news reaction,"Theo tin tức, ông Kim Jong Un có thể không sống hết năm nay và sẽ trao quyền lại cho con gái Kim Ju Ae. Chi tiết bên trong! ",surprise,shocking fact,talking head,views_per_subs,1.915042,81,2693,1068,42200,574.575054
https://www.tiktok.com/@luuluongchiasenews/video/7603933258010692878,explanation,Muốn tránh xui xẻo bệnh tật cho gia đình Đêm Giao Thừa hãy làm mẹo này,,shocking fact,talking head,views_per_subs,3.043261,90,22300,1095,46600,550.634427
https://www.tiktok.com/@luuluongchiasenews/video/7602398464617565495,news reaction,"Lãnh đạo tối cao Iran đã đầu hàng và sẵn sàng đàm phán với Mỹ. Theo NBC, họ chấp nhận điều kiện của Tổng thống Trump.",surprise,shocking fact,talking head,views_per_subs,2.080478,81,3989,1862,42000,550.634427
https://www.tiktok.com/@luuluongchiasenews/video/7600690070374354231,news reaction,Khám phá những con số ấn tượng về tài sản và tiền lương của Tập Cận Bình cùng 22 lãnh đạo cấp cao Trung Quốc.,surprise,shocking fact,talking head,views_per_subs,3.037364,98,8659,1663,56500,526.693799
https://www.tiktok.com/@bankerthichcode/video/7569596250698370322,news reaction,Khám phá sự bất ổn xã hội trong mạng xã hội Việt Nam qua góc nhìn của Lê Văn Duyệt. ,outrage,shocking fact,talking head,views_per_subs,2.906276,142,3234,1948,79100,505.490675
https://www.tiktok.com/@stevent107/video/7593703789236948242,news reaction,Khám phá cách Đan Mạch tận dụng mọi nguồn lực để bảo vệ Greenland. Xem ngay để hiểu rõ hơn!,surprise,shocking fact,talking head,views_per_subs,3.297676,102,171,132,13600,484.041332
https://www.tiktok.com/@luuluongchiasenews/video/7603822284255661326,news reaction,"250,000 việt kiều Mỹ gặp nguy to !!!",surprise,shocking fact,talking head,views_per_subs,1.6385,97,5275,695,26800,478.812545
